percentile,word,translation
3,J',[i]
10,avais,[get;had;have;hold;own;possess;stock]
0, , 
5,été,[summer;summertime]
0, , 
81,découragé,[crestfallen;dejected;depressed;despondent;discouraged;dispirited;downcast;downhearted;droopy]
0, , 
3,dans,[aboard;along;during;in;inside;into;on;within]
0, , 
6,ma,[my]
0, , 
19,carrière,[career;quarry;stone-pit]
0, , 
1,de,[at;by;from;of;off;out of;than;to;with]
0, , 
36,peintre,[painter]
0, , 
3,par,[by;on;out of;par;per;through;to;via]
0, , 
1,les,[the;them]
0, , 
15,grandes,[large;seniors]
0, , 
9,personnes,[people]
0,",",","
0, , 
1,à,[at;by;in;to;upon;with]
0, , 
1,l',[him;it;the]
35,age,[age;ages]
0, , 
1,de,[at;by;from;of;off;out of;than;to;with]
0, , 
15,six,[six]
0, , 
6,ans,[years]
0,",",","
0, , 
1,et,[and]
0, , 
3,je,[i]
0, , 
4,n',[born;not]
10,avais,[get;had;have;hold;own;possess;stock]
0, , 
7,rien,[anything;naught;nil;nix;nothing;nothingness;zilch]
0, , 
21,appris,[learned]
0, , 
1,à,[at;by;in;to;upon;with]
0, , 
48,dessiner,[define;design;draft;draught;draw;exhibit;lay out;limn;line;pencil;protract;sketch;style;trace over]
0,",",","
0, , 
15,sauf,[apart from;barring;beyond;but;except;excepting;excluding;safe;save;short of;unless]
0, , 
1,les,[the;them]
0, , 
100,boas,[boas]
0, , 
45,fermés,[blocked;bounded;closed;drawn;filled;impervious;locked;sealed;shut;tight]
0, , 
1,et,[and]
0, , 
1,les,[the;them]
0, , 
100,boas,[boas]
0, , 
38,ouverts,[accessible;forthcoming;honest;ingenuous;open;opened;outgoing;responsive;unconfined;ungrounded]
0,.,.
0,"
","
"
0,"
","
"
3,Je,[i]
0, , 
100,regardai,[looked at]
0, , 
7,donc,[consequently;so;therefore;thus;whereof]
0, , 
5,cette,[that;this]
0, , 
31,apparition,[advent;apparition;appearance;birth;color;emergence;occurrence;shape;spook;vision;wraith]
0, , 
4,avec,[along;along with;to;together with;with]
0, , 
2,des,[from;of the]
0, , 
12,yeux,[bud;eye;eyes]
0, , 
5,tout,[all;all up;any;anything;entire;every;in all;most important;very;whole]
0, , 
60,ronds,[blind drunk;circle;circular;ring;rotund;round]
0, , 
1,d',[at;by;from;of;off;out of;than;to;with]
67,étonnement,[astonishment;surprise;surprisingly;wonder;wonderment]
0,.,.
0, , 
4,N',[born;not]
